date,latitude,longitude
03/30/2022,47.145087,37.618657
03/30/2022,50.532706,30.901733
03/30/2022,48.862286,38.489438
03/30/2022,47.098881,37.567921
03/30/2022,47.950209,37.7024
03/30/2022,48.862306,38.489336
03/31/2022,50.038384,36.34799
03/31/2022,50.079348,36.620029
03/31/2022,49.913822,36.481405
04/01/2022,50.022323,36.341602
04/01/2022,50.401192,36.583518
04/01/2022,47.099846,37.631403
04/01/2022,47.942185,37.699477
04/01/2022,50.596761,36.666081
04/02/2022,50.017505,36.240566
04/02/2022,50.542389,30.231772
04/02/2022,48.589358,37.991213
04/02/2022,47.499239,34.656428
04/02/2022,50.533674,30.210082
04/02/2022,50.541821,30.230077
04/03/2022,49.947173,36.269924
04/03/2022,49.948359,36.271999
04/03/2022,46.517713,30.71771
04/03/2022,46.944675,32.046382
04/03/2022,46.756268,33.380974
04/03/2022,46.816825,33.480501
04/03/2022,49.914003,36.481198
04/03/2022,49.145944,37.243944
04/03/2022,50.548252,30.205594
04/03/2022,50.564258,30.212598
04/03/2022,50.440149,30.148285
04/04/2022,49.830756,36.332503
04/04/2022,46.950482,32.021457
04/04/2022,46.940833,32.045167
04/04/2022,46.94243,32.054816
04/04/2022,46.943111,32.055287
04/04/2022,46.858579,32.017163
04/04/2022,50.543518,30.184839
04/05/2022,50.545026,30.240206
04/05/2022,49.83055,36.691385
04/05/2022,46.947634,32.036422
04/05/2022,50.545987,30.30598
04/05/2022,48.997061,38.417091
04/05/2022,50.640875,29.921221
04/05/2022,47.107446,37.938992
04/05/2022,46.940867,32.045577
04/05/2022,47.091672,37.522939
04/05/2022,50.541473,30.229567
04/05/2022,47.120652,37.524971
04/05/2022,47.093001,37.518801
04/05/2022,47.09674,37.546067
04/05/2022,50.544839,30.242023
04/05/2022,50.549028,30.22535
04/05/2022,50.643781,29.931894
04/05/2022,47.163118,37.613098
04/06/2022,51.453322,31.234181
04/06/2022,50.532536,30.211774
04/06/2022,47.780986,37.254019
04/06/2022,47.594043,37.50044
04/06/2022,50.566006,30.27042
04/06/2022,50.640342,29.918593
04/06/2022,48.94601,38.48646
04/06/2022,46.855478,32.014626
04/08/2022,50.017216,36.206997
04/08/2022,48.725499,37.54301
04/09/2022,50.025652,36.212824
04/09/2022,48.998518,38.402799
04/10/2022,50.429878,30.027399
04/10/2022,49.830583,36.332256
04/11/2022,47.749066,37.30271
04/11/2022,50.522385,30.22751
04/11/2022,49.982886,36.359888
04/11/2022,50.005792,36.352268
04/11/2022,49.962274,36.121564
04/12/2022,50.461411,29.811245
04/12/2022,48.724116,38.632423
04/12/2022,50.642888,29.932808
04/12/2022,49.919904,36.275166
04/12/2022,50.472629,29.870457
04/12/2022,50.048564,36.186365
04/13/2022,47.09946,37.6285
04/13/2022,48.835722,37.39031
04/14/2022,49.818104,36.685782
04/14/2022,52.384174,32.20259
04/14/2022,50.540127,30.355687
04/15/2022,46.991463,32.111853
04/15/2022,46.941198,32.038298
04/15/2022,49.949155,36.380386
04/15/2022,50.026028,36.238905
04/15/2022,50.019995,36.360026
04/15/2022,46.944657,32.039521
04/15/2022,47.023528,31.996045
04/16/2022,46.941034,32.038648
04/16/2022,48.408894,34.890738
04/17/2022,50.009993,36.243415
04/17/2022,49.98701,36.260386
04/17/2022,49.998641,36.241087
04/17/2022,50.00986,36.239839
04/18/2022,49.840414,23.995181
04/18/2022,49.826672,23.98973
04/18/2022,50.566517,30.319607
04/19/2022,46.957202,32.069565
04/19/2022,49.855323,23.984477
04/19/2022,49.951362,36.376658
04/19/2022,47.108285,37.628566
04/19/2022,47.110519,37.56288
04/19/2022,46.957315,32.06998
04/19/2022,46.961252,32.036862
04/19/2022,46.997132,32.003184
04/20/2022,46.97253,32.002876
04/20/2022,48.032718,38.493965
04/20/2022,50.014201,36.347652
04/20/2022,47.090924,37.526517
04/20/2022,47.411369,32.423855
04/21/2022,47.101234,37.634414
04/21/2022,50.045867,36.284984
04/21/2022,47.832936,35.094148
04/21/2022,47.05378,37.49003
04/22/2022,48.837607,37.571465
04/22/2022,50.025408,36.335041
04/22/2022,49.966222,36.008891
04/22/2022,48.965833,37.810559
04/23/2022,51.268122,34.214517
04/23/2022,46.413552,30.724564
04/23/2022,46.94424,31.935461
04/24/2022,50.039882,36.351055
04/24/2022,47.061898,37.510609
04/25/2022,46.8665,32.014749
04/25/2022,47.823079,35.168138
04/25/2022,47.152222,37.604472
04/25/2022,48.724752,38.632234
04/25/2022,47.046743,37.4858
04/25/2022,46.83882,29.62218
04/26/2022,46.755046,32.412858
04/26/2022,47.864694,35.124171
04/26/2022,48.599522,38.571376
04/26/2022,47.864558,35.125573
04/26/2022,46.075474,30.46912
04/26/2022,47.105332,37.633424
04/26/2022,47.098743,37.578958
04/27/2022,48.630072,38.378563
04/27/2022,47.094873,37.538992
04/27/2022,50.023217,36.365122
04/27/2022,47.934883,37.492889
04/27/2022,46.639689,32.615288
04/28/2022,50.462548,30.486669
04/29/2022,47.977565,37.695786
04/30/2022,47.114348,37.616064
